url,code
https://www.zapyle.com/product/1792/Louis-Vuitton-bag,1792
https://www.zapyle.com/product/1204/BOTTEGA-VENETA,1204
https://www.zapyle.com/product/1677/MICHAEL-KORS,1677
https://www.zapyle.com/product/1849/TABITHA-SIMMONS,1849
https://www.zapyle.com/product/1863/Chanel,1863
https://www.zapyle.com/product/1887/PRETTY-BALLERINAS-NWT!,1887
https://www.zapyle.com/product/1901/Blue-Pretty-Ballerinas--NWT!,1901
https://www.zapyle.com/product/2316/Chanel,2316
https://www.zapyle.com/product/2325/Rebecca-Minkoff,2325
https://www.zapyle.com/product/2342/Celine---New-With-Tags,2342
https://www.zapyle.com/product/2462/PRADA,2462
https://www.zapyle.com/product/2463/PRADA,2463
https://www.zapyle.com/product/2739/Chanel,2739
https://www.zapyle.com/product/2748/Prada,2748
https://www.zapyle.com/product/2743/PRADA,2743
https://www.zapyle.com/product/2888/Bottega-Veneta-Purple-Sling,2888
https://www.zapyle.com/product/2907/C%C3%A9line-Beige-Medium-Phantom-Luggage-Tote,2907
https://www.zapyle.com/product/3128/PRADA,3128
https://www.zapyle.com/product/3651/Kate-Spade-White-Cross-Body-Bag,3651
https://www.zapyle.com/product/3735/Loewe-Black-Coin-Purse-Key-Ring-Pouch,3735
https://www.zapyle.com/product/3783/Prada-Black-Nylon-Shoulder-Bag,3783
https://www.zapyle.com/product/3786/Louis-Vuitton-Blue-Epi-Pochette-Handbag,3786
